key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,size
rayyan-866146369,Protection of BNT162b2 Vaccine Booster against Covid-19 in Israel.,2021,10,7,The New England journal of medicine,1533-4406 0028-4793,385,15,1393-1400,"Bar-On, Yinon M. and Goldberg, Yair and Mandel, Micha and Bodenheimer, Omri and Freedman, Laurence and Kalkstein, Nir and Mizrahi, Barak and Alroy-Preis, Sharon and Ash, Nachman and Milo, Ron and Huppert, Amit",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2114255,eng,,,"BACKGROUND: On July 30, 2021, the administration of a third (booster) dose of the BNT162b2 messenger RNA vaccine (Pfizer-BioNTech) was approved in Israel for  persons who were 60 years of age or older and who had received a second dose of  vaccine at least 5 months earlier. Data are needed regarding the effect of the  booster dose on the rate of confirmed coronavirus 2019 disease (Covid-19) and the  rate of severe illness. METHODS: We extracted data for the period from July 30  through August 31, 2021, from the Israeli Ministry of Health database regarding  1,137,804 persons who were 60 years of age or older and had been fully vaccinated  (i.e., had received two doses of BNT162b2) at least 5 months earlier. In the  primary analysis, we compared the rate of confirmed Covid-19 and the rate of  severe illness between those who had received a booster injection at least 12  days earlier (booster group) and those who had not received a booster injection  (nonbooster group). In a secondary analysis, we evaluated the rate of infection 4  to 6 days after the booster dose as compared with the rate at least 12 days after  the booster. In all the analyses, we used Poisson regression after adjusting for  possible confounding factors. RESULTS: At least 12 days after the booster dose,  the rate of confirmed infection was lower in the booster group than in the  nonbooster group by a factor of 11.3 (95% confidence interval [CI], 10.4 to  12.3); the rate of severe illness was lower by a factor of 19.5 (95% CI, 12.9 to  29.5). In a secondary analysis, the rate of confirmed infection at least 12 days  after vaccination was lower than the rate after 4 to 6 days by a factor of 5.4  (95% CI, 4.8 to 6.1). CONCLUSIONS: In this study involving participants who were  60 years of age or older and had received two doses of the BNT162b2 vaccine at  least 5 months earlier, we found that the rates of confirmed Covid-19 and severe  illness were substantially lower among those who received a booster (third) dose  of the BNT162b2 vaccine.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2114255,"*COVID-19 Vaccines;*Immunization, Secondary;Aged;Aged, 80 and over;BNT162 Vaccine;COVID-19/epidemiology/*prevention & control;Databases, Factual;Female;Humans;Israel/epidemiology;Male;Middle Aged;Patient Acuity;Poisson Distribution;SARS-CoV-2;Israel;Vaccination;Vaccines",,,1137804
rayyan-866146370,Effectiveness of a third dose of the BNT162b2 mRNA COVID-19 vaccine for preventing severe outcomes in Israel: an observational study.,2021,12,4,"Lancet (London, England)",1474-547X 0140-6736,398,10316,2093-2100,"Barda, Noam and Dagan, Noa and Cohen, Cyrille and Hernán, Miguel A. and Lipsitch, Marc and Kohane, Isaac S. and Reis, Ben Y. and Balicer, Ran D.",https://www-sciencedirect-com.proxy.lib.umich.edu/science/article/pii/S0140673621022492,eng,,,"BACKGROUND: Many countries are experiencing a resurgence of COVID-19, driven predominantly by the delta (B.1.617.2) variant of SARS-CoV-2. In response, these  countries are considering the administration of a third dose of mRNA COVID-19  vaccine as a booster dose to address potential waning immunity over time and  reduced effectiveness against the delta variant. We aimed to use the data  repositories of Israel's largest health-care organisation to evaluate the  effectiveness of a third dose of the BNT162b2 mRNA vaccine for preventing severe  COVID-19 outcomes. METHODS: Using data from Clalit Health Services, which  provides mandatory health-care coverage for over half of the Israeli population,  individuals receiving a third vaccine dose between July 30, 2020, and Sept 23,  2021, were matched (1:1) to demographically and clinically similar controls who  did not receive a third dose. Eligible participants had received the second  vaccine dose at least 5 months before the recruitment date, had no previous  documented SARS-CoV-2 infection, and had no contact with the health-care system  in the 3 days before recruitment. Individuals who are health-care workers, live  in long-term care facilities, or are medically confined to their homes were  excluded. Primary outcomes were COVID-19-related admission to hospital, severe  disease, and COVID-19-related death. The third dose effectiveness for each  outcome was estimated as 1 - risk ratio using the Kaplan-Meier estimator.  FINDINGS: 1 158 269 individuals were eligible to be included in the third dose  group. Following matching, the third dose and control groups each included  728 321 individuals. Participants had a median age of 52 years (IQR 37-68) and  51% were female. The median follow-up time was 13 days (IQR 6-21) in both groups.  Vaccine effectiveness evaluated at least 7 days after receipt of the third dose,  compared with receiving only two doses at least 5 months ago, was estimated to be  93% (231 events for two doses vs 29 events for three doses; 95% CI 88-97) for  admission to hospital, 92% (157 vs 17 events; 82-97) for severe disease, and 81%  (44 vs seven events; 59-97) for COVID-19-related death. INTERPRETATION: Our  findings suggest that a third dose of the BNT162b2 mRNA vaccine is effective in  protecting individuals against severe COVID-19-related outcomes, compared with  receiving only two doses at least 5 months ago. FUNDING: The Ivan and Francesca  Berkowitz Family Living Laboratory Collaboration at Harvard Medical School and  Clalit Research Institute.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1016/S0140-6736(21)02249-2,"*Immunization, Secondary;Aged;Female;Humans;Israel/epidemiology;Male;Middle Aged;SARS-CoV-2;*BNT162 Vaccine;*Vaccine Efficacy;Adult;COVID-19/epidemiology/*prevention & control/virology;Mass Vaccination;Pandemics/prevention & control;Prognosis;RNA, Messenger;Vaccination;Vaccines;Israel",,,1158269
rayyan-866146373,BNT162b2 Vaccine Booster and Mortality Due to Covid-19.,2021,12,23,The New England journal of medicine,1533-4406 0028-4793,385,26,2413-2420,"Arbel, Ronen and Hammerman, Ariel and Sergienko, Ruslan and Friger, Michael and Peretz, Alon and Netzer, Doron and Yaron, Shlomit",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2115624,eng,,,"BACKGROUND: The emergence of the B.1.617.2 (delta) variant of severe acute respiratory syndrome coronavirus 2 and the reduced effectiveness over time of the  BNT162b2 vaccine (Pfizer-BioNTech) led to a resurgence of coronavirus disease  2019 (Covid-19) cases in populations that had been vaccinated early. On July 30,  2021, the Israeli Ministry of Health approved the use of a third dose of BNT162b2  (booster) to cope with this resurgence. Evidence regarding the effectiveness of  the booster in lowering mortality due to Covid-19 is still needed. METHODS: We  obtained data for all members of Clalit Health Services who were 50 years of age  or older at the start of the study and had received two doses of BNT162b2 at  least 5 months earlier. The mortality due to Covid-19 among participants who  received the booster during the study period (booster group) was compared with  that among participants who did not receive the booster (nonbooster group). A Cox  proportional-hazards regression model with time-dependent covariates was used to  estimate the association of booster status with death due to Covid-19, with  adjustment for sociodemographic factors and coexisting conditions. RESULTS: A  total of 843,208 participants met the eligibility criteria, of whom 758,118 (90%)  received the booster during the 54-day study period. Death due to Covid-19  occurred in 65 participants in the booster group (0.16 per 100,000 persons per  day) and in 137 participants in the nonbooster group (2.98 per 100,000 persons  per day). The adjusted hazard ratio for death due to Covid-19 in the booster  group, as compared with the nonbooster group, was 0.10 (95% confidence interval,  0.07 to 0.14; P<0.001). CONCLUSIONS: Participants who received a booster at least  5 months after a second dose of BNT162b2 had 90% lower mortality due to Covid-19  than participants who did not receive a booster.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2115624,"*Immunization, Secondary;Aged;Female;Humans;Israel/epidemiology;Male;Middle Aged;Vaccine Efficacy/*statistics & numerical data;Proportional Hazards Models;*BNT162 Vaccine/immunology;COVID-19/*mortality/prevention & control;Vaccination;Vaccines",,,843208
rayyan-866146374,Protection against Covid-19 by BNT162b2 Booster across Age Groups.,2021,12,23,The New England journal of medicine,1533-4406 0028-4793,385,26,2421-2430,"Bar-On, Yinon M. and Goldberg, Yair and Mandel, Micha and Bodenheimer, Omri and Freedman, Laurence and Alroy-Preis, Sharon and Ash, Nachman and Huppert, Amit and Milo, Ron",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2115926,eng,,,"BACKGROUND: After promising initial results from the administration of a third (booster) dose of the BNT162b2 messenger RNA vaccine (Pfizer-BioNTech) to persons  60 years of age or older, the booster campaign in Israel was gradually expanded  to persons in younger age groups who had received a second dose at least 5 months  earlier. METHODS: We extracted data for the period from July 30 to October 10,  2021, from the Israel Ministry of Health database regarding 4,696,865 persons 16  years of age or older who had received two doses of BNT162b2 at least 5 months  earlier. In the primary analysis, we compared the rates of confirmed coronavirus  disease 2019 (Covid-19), severe illness, and death among those who had received a  booster dose at least 12 days earlier (booster group) with the rates among those  who had not received a booster (nonbooster group). In a secondary analysis, we  compared the rates in the booster group with the rates among those who had  received a booster 3 to 7 days earlier (early postbooster group). We used Poisson  regression models to estimate rate ratios after adjusting for possible  confounding factors. RESULTS: The rate of confirmed infection was lower in the  booster group than in the nonbooster group by a factor of approximately 10 (range  across five age groups, 9.0 to 17.2) and was lower in the booster group than in  the early postbooster group by a factor of 4.9 to 10.8. The adjusted rate  difference ranged from 57.0 to 89.5 infections per 100,000 person-days in the  primary analysis and from 34.4 to 38.3 in the secondary analysis. The rates of  severe illness in the primary and secondary analyses were lower in the booster  group by a factor of 17.9 (95% confidence interval [CI], 15.1 to 21.2) and 6.5  (95% CI, 5.1 to 8.2), respectively, among those 60 years of age or older and by a  factor of 21.7 (95% CI, 10.6 to 44.2) and 3.7 (95% CI, 1.3 to 10.2) among those  40 to 59 years of age. The adjusted rate difference in the primary and secondary  analyses was 5.4 and 1.9 cases of severe illness per 100,000 person-days among  those 60 years of age or older and 0.6 and 0.1 among those 40 to 59 years of age.  Among those 60 years of age or older, mortality was lower by a factor of 14.7  (95% CI, 10.0 to 21.4) in the primary analysis and 4.9 (95% CI, 3.1 to 7.9) in  the secondary analysis. The adjusted rate difference in the primary and secondary  analyses was 2.1 and 0.8 deaths per 100,000 person-days. CONCLUSIONS: Across the  age groups studied, rates of confirmed Covid-19 and severe illness were  substantially lower among participants who received a booster dose of the  BNT162b2 vaccine than among those who did not.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2115926,"*Immunization, Secondary;Aged;Aged, 80 and over;Female;Humans;Israel/epidemiology;Male;Middle Aged;*BNT162 Vaccine;Adult;*Patient Acuity;Adolescent;Age Distribution;COVID-19/*epidemiology/mortality/prevention & control;Vaccine Efficacy/*statistics & numerical data;Young Adult",,,4696865
rayyan-866146375,Protection by a Fourth Dose of BNT162b2 against Omicron in Israel.,2022,5,5,The New England journal of medicine,1533-4406 0028-4793,386,18,1712-1720,"Bar-On, Yinon M. and Goldberg, Yair and Mandel, Micha and Bodenheimer, Omri and Amir, Ofra and Freedman, Laurence and Alroy-Preis, Sharon and Ash, Nachman and Huppert, Amit and Milo, Ron",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2201570,eng,,,"BACKGROUND: On January 2, 2022, Israel began administering a fourth dose of BNT162b2 vaccine to persons 60 years of age or older. Data are needed regarding  the effect of the fourth dose on rates of confirmed severe acute respiratory  syndrome coronavirus 2 (SARS-CoV-2) infection and of severe coronavirus disease  2019 (Covid-19). METHODS: Using the Israeli Ministry of Health database, we  extracted data on 1,252,331 persons who were 60 years of age or older and  eligible for the fourth dose during a period in which the B.1.1.529 (omicron)  variant of SARS-CoV-2 was predominant (January 10 through March 2, 2022). We  estimated the rate of confirmed infection and severe Covid-19 as a function of  time starting at 8 days after receipt of a fourth dose (four-dose groups) as  compared with that among persons who had received only three doses (three-dose  group) and among persons who had received a fourth dose 3 to 7 days earlier  (internal control group). For the estimation of rates, we used quasi-Poisson  regression with adjustment for age, sex, demographic group, and calendar day.  RESULTS: The number of cases of severe Covid-19 per 100,000 person-days  (unadjusted rate) was 1.5 in the aggregated four-dose groups, 3.9 in the  three-dose group, and 4.2 in the internal control group. In the quasi-Poisson  analysis, the adjusted rate of severe Covid-19 in the fourth week after receipt  of the fourth dose was lower than that in the three-dose group by a factor of 3.5  (95% confidence interval [CI], 2.7 to 4.6) and was lower than that in the  internal control group by a factor of 2.3 (95% CI, 1.7 to 3.3). Protection  against severe illness did not wane during the 6 weeks after receipt of the  fourth dose. The number of cases of confirmed infection per 100,000 person-days  (unadjusted rate) was 177 in the aggregated four-dose groups, 361 in the  three-dose group, and 388 in the internal control group. In the quasi-Poisson  analysis, the adjusted rate of confirmed infection in the fourth week after  receipt of the fourth dose was lower than that in the three-dose group by a  factor of 2.0 (95% CI, 1.9 to 2.1) and was lower than that in the internal  control group by a factor of 1.8 (95% CI, 1.7 to 1.9). However, this protection  waned in later weeks. CONCLUSIONS: Rates of confirmed SARS-CoV-2 infection and  severe Covid-19 were lower after a fourth dose of BNT162b2 vaccine than after  only three doses. Protection against confirmed infection appeared short-lived,  whereas protection against severe illness did not wane during the study period.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2201570,BNT162 Vaccine;Humans;Israel/epidemiology;*SARS-CoV-2;*COVID-19/epidemiology/prevention & control;COVID-19 Vaccines;Israel,,,1252331
rayyan-866146376,Association Between 3 Doses of mRNA COVID-19 Vaccine and Symptomatic Infection Caused by the SARS-CoV-2 Omicron and Delta Variants.,2022,2,15,JAMA,1538-3598 0098-7484,327,7,639-651,"Accorsi, Emma K. and Britton, Amadea and Fleming-Dutra, Katherine E. and Smith, Zachary R. and Shang, Nong and Derado, Gordana and Miller, Joseph and Schrag, Stephanie J. and Verani, Jennifer R.",https://jamanetwork-com.proxy.lib.umich.edu/journals/jama/article-abstract/2788485,eng,,,"IMPORTANCE: Assessing COVID-19 vaccine performance against the rapidly spreading SARS-CoV-2 Omicron variant is critical to inform public health guidance.  OBJECTIVE: To estimate the association between receipt of 3 doses of  Pfizer-BioNTech BNT162b2 or Moderna mRNA-1273 vaccine and symptomatic SARS-CoV-2  infection, stratified by variant (Omicron and Delta). DESIGN, SETTING, AND  PARTICIPANTS: A test-negative case-control analysis among adults 18 years or  older with COVID-like illness tested December 10, 2021, through January 1, 2022,  by a national pharmacy-based testing program (4666 COVID-19 testing sites across  49 US states). EXPOSURES: Three doses of mRNA COVID-19 vaccine (third dose ≥14  days before test and ≥6 months after second dose) vs unvaccinated and vs 2 doses  6 months or more before test (ie, eligible for a booster dose). MAIN OUTCOMES AND  MEASURES: Association between symptomatic SARS-CoV-2 infection (stratified by  Omicron or Delta variants defined using S-gene target failure) and vaccination (3  doses vs unvaccinated and 3 doses vs 2 doses). Associations were measured with  multivariable multinomial regression. Among cases, a secondary outcome was median  cycle threshold values (inversely proportional to the amount of target nucleic  acid present) for 3 viral genes, stratified by variant and vaccination status.  RESULTS: Overall, 23 391 cases (13 098 Omicron; 10 293 Delta) and 46 764 controls  were included (mean age, 40.3 [SD, 15.6] years; 42 050 [60.1%] women). Prior  receipt of 3 mRNA vaccine doses was reported for 18.6% (n = 2441) of Omicron  cases, 6.6% (n = 679) of Delta cases, and 39.7% (n = 18 587) of controls; prior  receipt of 2 mRNA vaccine doses was reported for 55.3% (n = 7245), 44.4%  (n = 4570), and 41.6% (n = 19 456), respectively; and being unvaccinated was  reported for 26.0% (n = 3412), 49.0% (n = 5044), and 18.6% (n = 8721),  respectively. The adjusted odds ratio for 3 doses vs unvaccinated was 0.33 (95%  CI, 0.31-0.35) for Omicron and 0.065 (95% CI, 0.059-0.071) for Delta; for 3  vaccine doses vs 2 doses the adjusted odds ratio was 0.34 (95% CI, 0.32-0.36) for  Omicron and 0.16 (95% CI, 0.14-0.17) for Delta. Median cycle threshold values  were significantly higher in cases with 3 doses vs 2 doses for both Omicron and  Delta (Omicron N gene: 19.35 vs 18.52; Omicron ORF1ab gene: 19.25 vs 18.40; Delta  N gene: 19.07 vs 17.52; Delta ORF1ab gene: 18.70 vs 17.28; Delta S gene: 23.62 vs  20.24). CONCLUSIONS AND RELEVANCE: Among individuals seeking testing for  COVID-like illness in the US in December 2021, receipt of 3 doses of mRNA  COVID-19 vaccine (compared with unvaccinated and with receipt of 2 doses) was  less likely among cases with symptomatic SARS-CoV-2 infection compared with  test-negative controls. These findings suggest that receipt of 3 doses of mRNA  vaccine, relative to being unvaccinated and to receipt of 2 doses, was associated  with protection against both the Omicron and Delta variants, although the higher  odds ratios for Omicron suggest less protection for Omicron than for Delta.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1001/jama.2022.0470,"Aged;Humans;Middle Aged;*Vaccine Efficacy;Adult;COVID-19/epidemiology/*prevention & control/virology;Adolescent;Young Adult;*SARS-CoV-2;BNT162 Vaccine/*administration & dosage;Retrospective Studies;Immunization, Secondary;COVID-19 Vaccines/*administration & dosage;Case-Control Studies;2019-nCoV Vaccine mRNA-1273/*administration & dosage;Dose-Response Relationship, Immunologic;Odds Ratio;Regression Analysis;Risk Factors;Vaccination;RNA, Messenger",,,70155
rayyan-866146377,Effectiveness of a Third Dose of BNT162b2 mRNA Vaccine.,2022,1,5,The Journal of infectious diseases,1537-6613 0022-1899,225,1,30-33,"Saciuk, Yaki and Kertes, Jennifer and Shamir Stein, Naama and Ekka Zohar, Anat",https://academic-oup-com.proxy.lib.umich.edu/jid/article/225/1/30/6415586,eng,,,"A retrospective cohort study was carried out in a large Israeli health maintenance organization to determine vaccine effectiveness (VE) of a third dose  of BNT162b2 vaccine against severe acute respiratory syndrome coronavirus 2  (SARS-CoV-2) infection. Of nearly 1 million members receiving 2 doses of BNT162b2  in January-February 2021, infection rates (based on polymerase chain reaction  results) were compared between those who received a third dose with those who did  not during August-October 2021 (maximum, 70 days). Crude VE was 92.9% (95%  confidence interval [CI], 92.6%-93.2%) and adjusted VE was 89.1% (95% CI,  87.5%-90.5%). We conclude that the third dose provides added protection against  SARS-CoV-2 infection for those vaccinated 6 months ago.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1093/infdis/jiab556,"Aged;Female;Humans;Male;Middle Aged;*Vaccine Efficacy;Adult;Adolescent;*COVID-19;*mRNA BNT162b2;*Pfizer-BioNTech vaccine;*SARS-CoV-2;*vaccine effectiveness;BNT162 Vaccine/*administration & dosage;Child;Child, Preschool;COVID-19 Vaccines/administration & dosage;COVID-19/*prevention & control;Infant;Infant, Newborn;mRNA Vaccines;Polymerase Chain Reaction;Retrospective Studies;SARS-CoV-2/isolation & purification;Vaccines, Synthetic;RNA, Messenger;Vaccination;Vaccines",,,947131
rayyan-866146379,Fourth Dose of BNT162b2 mRNA Covid-19 Vaccine in a Nationwide Setting.,2022,4,28,The New England journal of medicine,1533-4406 0028-4793,386,17,1603-1614,"Magen, Ori and Waxman, Jacob G. and Makov-Assif, Maya and Vered, Roni and Dicker, Dror and Hernán, Miguel A. and Lipsitch, Marc and Reis, Ben Y. and Balicer, Ran D. and Dagan, Noa",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2201688,eng,,,"BACKGROUND: With large waves of infection driven by the B.1.1.529 (omicron) variant of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),  alongside evidence of waning immunity after the booster dose of coronavirus  disease 2019 (Covid-19) vaccine, several countries have begun giving at-risk  persons a fourth vaccine dose. METHODS: To evaluate the early effectiveness of a  fourth dose of the BNT162b2 vaccine for the prevention of Covid-19-related  outcomes, we analyzed data recorded by the largest health care organization in  Israel from January 3 to February 18, 2022. We evaluated the relative  effectiveness of a fourth vaccine dose as compared with that of a third dose  given at least 4 months earlier among persons 60 years of age or older. We  compared outcomes in persons who had received a fourth dose with those in persons  who had not, individually matching persons from these two groups with respect to  multiple sociodemographic and clinical variables. A sensitivity analysis was  performed with the use of parametric Poisson regression. RESULTS: The primary  analysis included 182,122 matched pairs. Relative vaccine effectiveness in days 7  to 30 after the fourth dose was estimated to be 45% (95% confidence interval  [CI], 44 to 47) against polymerase-chain-reaction-confirmed SARS-CoV-2 infection,  55% (95% CI, 53 to 58) against symptomatic Covid-19, 68% (95% CI, 59 to 74)  against Covid-19-related hospitalization, 62% (95% CI, 50 to 74) against severe  Covid-19, and 74% (95% CI, 50 to 90) against Covid-19-related death. The  corresponding estimates in days 14 to 30 after the fourth dose were 52% (95% CI,  49 to 54), 61% (95% CI, 58 to 64), 72% (95% CI, 63 to 79), 64% (95% CI, 48 to  77), and 76% (95% CI, 48 to 91). In days 7 to 30 after a fourth vaccine dose, the  difference in the absolute risk (three doses vs. four doses) was 180.1 cases per  100,000 persons (95% CI, 142.8 to 211.9) for Covid-19-related hospitalization and  68.8 cases per 100,000 persons (95% CI, 48.5 to 91.9) for severe Covid-19. In  sensitivity analyses, estimates of relative effectiveness against documented  infection were similar to those in the primary analysis. CONCLUSIONS: A fourth  dose of the BNT162b2 vaccine was effective in reducing the short-term risk of  Covid-19-related outcomes among persons who had received a third dose at least 4  months earlier. (Funded by the Ivan and Francesca Berkowitz Family Living  Laboratory Collaboration at Harvard Medical School and Clalit Research  Institute.).","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2201688,"Humans;Israel/epidemiology;Middle Aged;*SARS-CoV-2;*COVID-19/epidemiology/prevention & control;*BNT162 Vaccine/therapeutic use;*COVID-19 Vaccines/therapeutic use;*Immunization, Secondary/statistics & numerical data;RNA, Messenger;Treatment Outcome;Vaccination;Vaccines",,,364244
rayyan-866146380,Effect of mRNA Vaccine Boosters against SARS-CoV-2 Omicron Infection in Qatar.,2022,5,12,The New England journal of medicine,1533-4406 0028-4793,386,19,1804-1816,"Abu-Raddad, Laith J. and Chemaitelly, Hiam and Ayoub, Houssein H. and AlMukdad, Sawsan and Yassine, Hadi M. and Al-Khatib, Hebah A. and Smatti, Maria K. and Tang, Patrick and Hasan, Mohammad R. and Coyle, Peter and Al-Kanaani, Zaina and Al-Kuwari, Einas and Jeremijenko, Andrew and Kaleeckal, Anvar H. and Latif, Ali N. and Shaik, Riyazuddin M. and Abdul-Rahim, Hanan F. and Nasrallah, Gheyath K. and Al-Kuwari, Mohamed Ghaith and Butt, Adeel A. and Al-Romaihi, Hamad Eid and Al-Thani, Mohamed H. and Al-Khal, Abdullatif and Bertollini, Roberto",https://www-nejm-org.proxy.lib.umich.edu/doi/full/10.1056/NEJMoa2200797,eng,,,"BACKGROUND: Waning of vaccine protection against coronavirus disease 2019 (Covid-19) and the emergence of the omicron (or B.1.1.529) variant of the severe  acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have led to expedited  efforts to scale up booster vaccination. Protection conferred by booster doses of  the BNT162b2 (Pfizer-BioNTech) and mRNA-1273 (Moderna) vaccines in Qatar, as  compared with protection conferred by the two-dose primary series, is unclear.  METHODS: We conducted two matched retrospective cohort studies to assess the  effectiveness of booster vaccination, as compared with that of a two-dose primary  series alone, against symptomatic SARS-CoV-2 infection and Covid-19-related  hospitalization and death during a large wave of omicron infections from December  19, 2021, through January 26, 2022. The association of booster status with  infection was estimated with the use of Cox proportional-hazards regression  models. RESULTS: In a population of 2,239,193 persons who had received at least  two doses of BNT162b2 or mRNA-1273 vaccine, those who had also received a booster  were matched with persons who had not received a booster. Among the  BNT162b2-vaccinated persons, the cumulative incidence of symptomatic omicron  infection was 2.4% (95% confidence interval [CI], 2.3 to 2.5) in the booster  cohort and 4.5% (95% CI, 4.3 to 4.6) in the nonbooster cohort after 35 days of  follow-up. Booster effectiveness against symptomatic omicron infection, as  compared with that of the primary series, was 49.4% (95% CI, 47.1 to 51.6).  Booster effectiveness against Covid-19-related hospitalization and death due to  omicron infection, as compared with the primary series, was 76.5% (95% CI, 55.9  to 87.5). BNT162b2 booster effectiveness against symptomatic infection with the  delta (or B.1.617.2) variant, as compared with the primary series, was 86.1% (95%  CI, 67.3 to 94.1). Among the mRNA-1273-vaccinated persons, the cumulative  incidence of symptomatic omicron infection was 1.0% (95% CI, 0.9 to 1.2) in the  booster cohort and 1.9% (95% CI, 1.8 to 2.1) in the nonbooster cohort after 35  days; booster effectiveness against symptomatic omicron infection, as compared  with the primary series, was 47.3% (95% CI, 40.7 to 53.3). Few severe Covid-19  cases were noted in the mRNA-1273-vaccinated cohorts. CONCLUSIONS: The messenger  RNA (mRNA) boosters were highly effective against symptomatic delta infection,  but they were less effective against symptomatic omicron infection. However, with  both variants, mRNA boosters led to strong protection against Covid-19-related  hospitalization and death. (Funded by Weill Cornell Medicine-Qatar and others.).","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1056/NEJMoa2200797,"Humans;SARS-CoV-2;2019-nCoV Vaccine mRNA-1273/*immunology;BNT162 Vaccine/*immunology;mRNA Vaccines;Retrospective Studies;Vaccines, Synthetic;COVID-19 Vaccines;RNA, Messenger;Immunization, Secondary;Immunogenicity, Vaccine;*COVID-19/epidemiology/immunology/prevention & control;Cohort Studies;Qatar/epidemiology;Vaccine Efficacy;Vaccination;Vaccines",,,2239193
rayyan-866146383,"Effectiveness of COVID-19 booster vaccines against COVID-19-related symptoms, hospitalization and death in England.",2022,4,,Nature medicine,1546-170X 1078-8956,28,4,831-837,"Andrews, Nick and Stowe, Julia and Kirsebom, Freja and Toffa, Samuel and Sachdeva, Ruchira and Gower, Charlotte and Ramsay, Mary and Lopez Bernal, Jamie",https://www-nature-com.proxy.lib.umich.edu/articles/s41591-022-01699-1,eng,,,"Booster vaccination with messenger RNA (mRNA) vaccines has been offered to adults in England starting on 14 September 2021. We used a test-negative case-control  design to estimate the relative effectiveness of a booster dose of BNT162b2  (Pfizer-BioNTech) compared to only a two-dose primary course (at least 175 days  after the second dose) or unvaccinated individuals from 13 September 2021 to 5  December 2021, when Delta variant was dominant in circulation. Outcomes were  symptomatic coronavirus disease 2019 (COVID-19) and hospitalization. The relative  effectiveness against symptomatic disease 14-34 days after a BNT162b2 or  mRNA-1273 (Moderna) booster after a ChAdOx1-S (AstraZeneca) and BNT162b2 as a  primary course ranged from around 85% to 95%. Absolute vaccine effectiveness  ranged from 94% to 97% and was similar in all age groups. Limited waning was seen  10 or more weeks after the booster. Against hospitalization or death, absolute  effectiveness of a BNT162b2 booster ranged from around 97% to 99% in all age  groups irrespective of the primary course, with no evidence of waning up to 10  weeks. This study provides real-world evidence of substantially increased  protection from the booster vaccine dose against mild and severe disease  irrespective of the primary course.","RAYYAN-INCLUSION: {""Sabir""=>""Included""}",10.1038/s41591-022-01699-1,BNT162 Vaccine;Humans;SARS-CoV-2;Adult;Infant;mRNA Vaccines;*COVID-19/prevention & control;COVID-19 Vaccines/therapeutic use;England/epidemiology;Hospitalization;England;Vaccination,,,893845
