Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,InfectionVE,Lower95,Upper95
1,Q4 2021,N,N,158195,0.52449631,0.4975999,0.54995281
2,Q4 2021,Y,N,158195,0.45888348,0.4273692,0.48866341
3,Q4 2021,N,Y,168682,0.45603897,0.4262507,0.48428066
4,Q4 2021,Y,Y,168682,0.38518226,0.3505238,0.4179912
5,Q1 2022,N,N,30141,0.26323471,0.1395547,0.369137
6,Q1 2022,Y,N,30141,0.27566925,0.1518043,0.3814458
7,Q1 2022,N,Y,157466,-0.21597321,-0.3896915,-0.06397059
8,Q1 2022,Y,Y,157466,-0.20283807,-0.3752298,-0.05205646
9,Q2 2022,N,N,7168,0.39012471,0.2162457,0.525428
10,Q2 2022,Y,N,7168,0.37494469,0.1951533,0.51457323
11,Q2 2022,N,Y,133862,0.055473,-0.1219434,0.20483397
12,Q2 2022,Y,Y,133862,0.04968626,-0.1291596,0.20020498
13,Q3 2022,N,N,3231,0.07693519,-0.4028747,0.39264095
14,Q3 2022,Y,N,3231,0.06839128,-0.4220866,0.38970327
15,Q3 2022,N,Y,106009,-0.02373735,-0.4160883,0.25990623
16,Q3 2022,Y,Y,106009,-0.06830267,-0.4782015,0.22793301
