Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,HospVE,Lower95,Upper95
1,Q4 2021,N,N,186495,0.5867391,0.49413731,0.6623895
2,Q4 2021,Y,N,186495,0.5657361,0.46712338,0.6460997
3,Q4 2021,N,Y,201922,0.51046,0.40352079,0.5982266
4,Q4 2021,Y,Y,201922,0.4779246,0.36212211,0.572704
5,Q1 2022,N,N,30980,0.4204799,0.16414704,0.5982026
6,Q1 2022,Y,N,30980,0.2507974,-0.0872663,0.483747
7,Q1 2022,N,Y,190900,0.5319303,0.35521353,0.6602142
8,Q1 2022,Y,Y,190900,0.4319143,0.21555262,0.5886004
9,Q2 2022,N,N,7313,0.5440637,0.12294798,0.7629811
10,Q2 2022,Y,N,7313,0.5405847,0.1082283,0.7633224
11,Q2 2022,N,Y,176905,0.6812298,0.50596934,0.7943155
12,Q2 2022,Y,Y,176905,0.6088201,0.39189822,0.7483617
13,Q3 2022,N,N,3249,0.7340645,-0.02910184,0.9312782
14,Q3 2022,Y,N,3249,0.7007939,-0.15824605,0.922707
15,Q3 2022,N,Y,157841,0.7659436,0.50282013,0.8898137
16,Q3 2022,Y,Y,157841,0.7143968,0.39070594,0.8661251
