Design,Method,For,n,InfectionVE,Lower95,Upper95
1,Unadj.,N/A,102527,-5.347655,-5.628334,-5.078862
2,Covar. Adj.,N/A,102527,-5.738491,-6.064523,-5.427505
3,Exact,Boosting,42286,-6.356355,-6.770528,-5.964257
4,Exact Strat.,Boosting,42286,-5.920856,-6.383411,-5.487279
5,Prop. Cal.,Boosting ,12786,-7.757042,-8.839153,-6.793943
6,Prop. Cal. Strat.,Boosting ,12786,-5.608541,-6.491876,-4.829356
7,Prop. Adj.,Boosting,102527,-4.997939,-5.281848,-4.726862
8,Prop + Covar. Adj.,Boosting,102527,-5.731839,-6.056575,-5.422046
9,IPW,Boosting ,102527,-5.380794,-5.770617,-5.013416
10,IPW Covar. Adj.,Boosting ,102527,-6.412637,-6.954952,-5.907294
11,Exact,Testing,95235,-5.263558,-5.55559,-4.984535
12,Exact Strat.,Testing,95235,-5.713432,-6.096592,-5.35096
13,Prop. Cal.,Testing,93960,-5.060806,-5.354253,-4.78091
14,Prop. Cal. Strat.,Testing,93960,-5.600746,-6.505648,-4.804942
15,Prop. Adj.,Testing,102527,-5.563503,-5.853693,-5.2856
16,Prop + Covar. Adj.,Testing,102527,-5.856097,-6.187589,-5.539893
17,IPW,Testing,102527,-5.27673,-5.571209,-4.995449
18,IPW Covar. Adj.,Testing,102527,-5.857119,-6.191575,-5.538217
19,Prop. Adj.,Both,102527,-5.350174,-5.65071,-5.063218
20,Prop + Covar. Adj.,Both,102527,-6.412637,-6.954952,-5.907294
