Design,Method,For,n,HospVE,Lower95,Upper95
1,Unadj.,N/A,102527,-5.305597,-6.496884,-4.303611
2,Covar. Adj.,N/A,102527,-3.349195,-4.216009,-2.626431
3,Exact,Boosting,42286,-8.575261,-11.189337,-6.521789
4,Exact Strat.,Boosting,42286,-5.232597,-7.321694,-3.667951
5,Prop. Cal.,Boosting ,12786,-5.203278,-8.300351,-3.137549
6,Prop. Cal. Strat.,Boosting ,12786,-3.166667,-5.505332,-1.668751
7,Prop. Adj.,Boosting,102527,-3.143395,-3.962107,-2.459764
8,Prop + Covar. Adj.,Boosting,102527,-3.351351,-4.223901,-2.624544
9,IPW,Boosting ,102527,-3.459181,-4.569981,-2.569903
10,IPW Covar. Adj.,Boosting ,102527,-3.410923,-4.578008,-2.488027
11,Exact,Testing,95235,-5.376949,-6.710932,-4.273744
12,Exact Strat.,Testing,95235,-3.772575,-4.988108,-2.803785
13,Prop. Cal.,Testing,93960,-4.544889,-5.7973,-3.523236
14,Prop. Cal. Strat.,Testing,93960,-6.416667,-12.550998,-3.059254
15,Prop. Adj.,Testing,102527,-5.618343,-6.869255,-4.566279
16,Prop + Covar. Adj.,Testing,102527,-3.628519,-4.549514,-2.860372
17,IPW,Testing,102527,-5.227612,-6.44235,-4.211143
18,IPW Covar. Adj.,Testing,102527,-3.501692,-4.43976,-2.72539
19,Prop. Adj.,Both,102527,-3.447563,-4.328637,-2.712172
20,Prop + Covar. Adj.,Both,102527,-3.410923,-4.578008,-2.488027
