Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,HospVE,Lower95,Upper95
1,Q4 2021,N,N,185131,0.5988677,0.5078094,0.6730797
2,Q4 2021,Y,N,185131,0.575298508,0.477554924,0.65475537
3,Q4 2021,N,Y,200533,0.5259835,0.4210982,0.6118657
4,Q4 2021,Y,Y,200533,0.49175332,0.377481566,0.5850489
5,Q1 2022,N,N,30311,0.426596,0.1676227,0.6049963
6,Q1 2022,Y,N,30311,0.267390888,-0.07029894,0.49853626
7,Q1 2022,N,Y,188676,0.5394689,0.3628721,0.6671172
8,Q1 2022,Y,Y,188676,0.442959337,0.2273697,0.598392271
9,Q2 2022,N,N,7213,0.5405975,0.09920385,0.7657065
10,Q2 2022,Y,N,7213,0.532951039,0.07604911,0.7639109
11,Q2 2022,N,Y,174962,0.6773364,0.4945405,0.7940255
12,Q2 2022,Y,Y,174962,0.605114216,0.37938617,0.748741
13,Q3 2022,N,N,3221,0.7357075,-0.02273288,0.9317021
14,Q3 2022,Y,N,3221,0.7010765,-0.157142,0.9227793
15,Q3 2022,N,Y,155896,0.7740133,0.5197459,0.8936604
16,Q3 2022,Y,Y,155896,0.725167155,0.413172451,0.871285708
