Design,Start_Quarter,Adjusted,Incl_PrevQ_Boosted,n,InfectionVE,Lower95,Upper95
1,Q4 2021,N,N,185131,0.460464,0.4340622,0.4856341
2,Q4 2021,Y,N,185131,0.374817435,0.34358332,0.404565345
3,Q4 2021,N,Y,200533,0.4207964,0.3928522,0.4474544
4,Q4 2021,Y,Y,200533,0.316030235,0.28233275,0.348145479
5,Q1 2022,N,N,30311,0.05548792,-0.06781068,0.1645494
6,Q1 2022,Y,N,30311,0.065806662,-0.0577026641,0.174893642
7,Q1 2022,N,Y,188676,-0.008593116,-0.1275674,0.0978277
8,Q1 2022,Y,Y,188676,-0.055530702,-0.180477639,0.056191302
9,Q2 2022,N,N,7213,0.3182181,0.153417,0.4509381
10,Q2 2022,Y,N,7213,0.292887025,0.119953531,0.431838229
11,Q2 2022,N,Y,174962,0.313518,0.1966196,0.4134068
12,Q2 2022,Y,Y,174962,0.24803989,0.1195896782,0.357749449
13,Q3 2022,N,N,3221,0.04486705,-0.4429391,0.3677634
14,Q3 2022,Y,N,3221,0.04541469,-0.44839733,0.370867995
15,Q3 2022,N,Y,155896,0.3771123,0.1385405,0.5496142
16,Q3 2022,Y,Y,155896,0.300251829,0.03167074,0.494337801
